10/07/2020;50;53;10;Muy divertido!;1;1;1;Perfecto;0;Eric Cobos
30/07/2020;0;38;10;Mi hija y yo nos pasamos las tardes de domingo haciendo figuras y tazas, nos encanta.;1;1;1;Es súper divertido!;0;Ana Lopez.
04/08/2020;0;155;10;Fantástico juguete!;1;1;1;Pikachu;0;XMB
17/09/2020;0;41;10;Si se ha perdido algún accesorio se puede comprar?;1;1;1;piezas;Hola Paula, en primer lugar gracias por confiar en Bizakshop, si te faltase o perdieses alguna pieza no dudes en ponerte en contacto con nosotros a través del email sat@bizak.es o en el teléfono 94 434 14 90 y te daremos la mejor solución.;paula bravo
17/09/2020;0;177;10;Fue un regalo de cumpleaños para mi hija de 6 años;1;1;1;muy divertido;0;Elena Campos
18/09/2020;0;36;8;Los niños se entretienen mucho! una pena que hayan perdido un par de marcianitos... espero poder comprarlos por separado;1;1;1;pasatiempos estupendo!;Hola Carmen, si has perdido alguna pieza de uno de nuestros productos, por favor ponte en contacto con nosotros a través del email sat@bizak.es para ayudarte en todo lo que podamos, un saludo y gracias por confiar en Bizak.;Carmen Martinez
18/09/2020;0;52;10;que pasada de muñeca! es muy real!;1;1;1;Super real;0;Pilar Torres
21/09/2020;0;53;10;Está muy bien para los manitas! Tenéis alguna otra moto?;1;1;1;muy entretenido;Hola Angel, de motos solo tenemos este modelo. Un saludo y gracias.;Angel Muñoz
21/09/2020;0;60;10;Imprescindible para la colección;1;1;1;Muy bien;0;Carlos Diaz
21/09/2020;0;84;10;me parto con los minions! muy bueno;1;1;1;muy bueno;0;Maria Romero
22/09/2020;0;37;10;hay que pillarle el punto porque al principio es dificil, pero muy divertido;1;1;1;divertido;0;paula erice
22/09/2020;0;54;10;muy acertado ya que puedes construir más de un modelo que sino al final es construir uno y ya está;1;1;1;encantado;0;Aitor Ruiz
22/09/2020;0;61;10;esta figura no podía faltar!;1;1;1;mítico;0;Jon Sierra
24/09/2020;0;85;10;buena calidad;1;1;1;Están bien;0;Dani Sainz
24/09/2020;0;135;10;Está bien para no tener mil cosas que al final se pierden;1;1;1;Buen invento;0;ainhoa torres
25/09/2020;0;55;10;lleva su tiempo;1;1;1;complicado;0;juan bilbao
25/09/2020;0;62;10;Muy bonita figura, solo falta el cinturoón de metal, pero vale la pena comprar para colección, un plus su guitarra;1;1;1;bonita figura;0;diego lopez
25/09/2020;0;86;10;Me ha encantado y a mi hijo más muy recomendado mi hijo le saca chispas;1;1;1;encantado;0;Sandra
28/09/2020;0;155;10;muy bueno. se puede meter en la lavadora?;1;1;1;calidad;"Hola Noemi, 

No, solo se puede limpiar la superficie con un paño.  ";noemi
28/09/2020;0;187;10;a mi hijo le encanta. los ruidos suenan alto y muy resistente;1;1;1;gran compra;0;iker
28/09/2020;0;186;10;Comprado para cumple de 5 años y gran acierto! incluye las pilas;1;1;1;muy bien!!;0;Ibon PR
29/09/2020;0;143;10;creo que hemos jugado a todos! nos ha salvado la cuarentena..;1;1;1;clásicos;0;Itzi
02/10/2020;0;46;10;Lo he comprado para el 6º cumpleaños de mi hija y le ha encantado. Es como un mundo mágico en miniatura. Recomendable calidad - precio.;1;1;1;A mi hija le ha encantado;0;Paula
03/10/2020;0;41;10;Hola! ¿ viene el muñeco o son sólo complementos? Gracias ;1;1;1;Contenido;"Hola Elena, 
El producto incluye un Hatchibabie y 4 accesorios para interactuar, biberón, sonajero, minihatchi y peine. 
Un saludo y gracias.";Elena 
08/10/2020;0;159;10;Pone que se puede jugar a partir de 12 meses, yo los usaría a partir de los 6 meses sin problema, son muy divertidos;1;1;1;muy divertido;0;amaya 
11/10/2020;130;41;10;Hola, quería saber si puedo elegir color o es aleatorio. En caso de poder elegirlo, cómo y dóndepodría indicarlo? Gracias;1;1;1;Elegir color;"Hola Marta S. 
El color es aleatorio, el producto se encuentra dentro del huevo y debe ""nacer"" por lo que no es posible elegir el color. 
Reciba un cordial saludo.";Marta Sanchez Cubas
22/10/2020;0;151;10;Es muy estimulante y llama la atención de los niños.  Les encanta. No paran de tocar todo el cuerpo.;1;1;1;A los niños les encanta;0;Cristina
22/10/2020;0;150;10;Es fácilmente lavable con un pañito y muy resistente.;1;1;1;resistente;0;Ines
22/10/2020;0;34;10;Mi hijo esta encantado con el juego;1;1;1;Maleta bien organizada;0;Ander
30/10/2020;0;66;10;Está muy bien! Plástico de calidad y tela, y brilla en la oscuridad. Los zapatos están un poco sueltos.;1;1;1;Brilla en la oscuridad!;0;Asier
30/10/2020;0;147;10;La musica es muy divertida y el remolque es muy original. El mejor regalo que le he podido hacer. Lo lleva a todas partes. ;1;1;1;regalazo;0;Sonia
02/11/2020;0;191;10;Para llevarte dos está muy bien de precio. Buen acabado!;1;1;1;calidad precio;0;Mercedes
09/11/2020;362;41;10;Buenas noches. Me gustaría saber hasta cuando sería el plazo de devolución ya que me gustaría comprarlo para reyes y hasta ese día no sabremos si el producto funciona bien o no. Gracias.;1;1;1;Plazo de devolución;0;Elisabeth Ruiz
